index,title,location,company,salary,experience(in yrs),description,keywords,trending,sponsored
118,Java / J2EE Full stack Developer,Hyderabad,RAMERSOFT SOLUTIONS,Not disclosed,4,Java/J2EE Full stack Developer Experience - 4 Years to 8 Years Location : Visakhapatnam...,Computer scienceTomcatJSPDebuggingIntegration testingJavascriptHTMLApplication development,0,0
119,Senior Full Stack Developer,Bengaluru,MICRO FOCUS SOFTWARE SOLUTIONS INDIA PRIVATE LTD,"12,00,000 - 20,00,000 PA.",7,We are looking for a candidate who brings strong problem solving skills with a combinat...,JavaCSSHibernatemultithreadGrailsData StructuresHTMLJSON,1,0
120,Full Stack Developer - Python/ AngularJS,Delhi,Nerd Geek Lab,Not disclosed,1,"Job description : Full stack Developer ( Python, Angular.js) Experience - 1- 3 year Rol...",AngularJSVue.jsRDBMSDjangoContinuous IntegrationMySQLMongoDBReact.js,1,0
121,Full Stack .Net Developer,Gurgaon,Ciena India Private Ltd.,Not disclosed,1,Candidate must appreciate a team environment and be able to learn existing applications...,Application supportManager Quality AssuranceNetworkingSSRSJavascriptHTMLApplication developmentSSIS,0,0
122,Java Full Stack Development,Pune,Accenture Solutions Pvt Ltd,Not disclosed,3,Must Have Skills : Java Full Stack Development Good To Have Skills : No Technology Spec...,Performance tuningLinuxNetworkingXMLEclipseJavascriptPLSQLOpen source,0,0
123,Java Full Stack Development,Pune,Accenture Solutions Pvt Ltd,Not disclosed,3,Must Have Skills : Java Full Stack Development Additional Information : A: Must to have...,Business processProduct qualitySoftware designSystem integrationHTMLScrumOutsourcingOperations,0,0
124,Java Full Stack Development,Pune,Accenture Solutions Pvt Ltd,Not disclosed,3,"Role : Application Developer Role Description : Design, build and configure application...",Business processCore JavaCAgileJDBCPLSQLApplication developmentOutsourcing,0,0
125,Full Stack Developer,Mumbai,Arminus Software Pvt. Ltd,Not disclosed,5,Roles and Responsibilities: Use advanced modelling tools & techniques to build full sta...,UnixJMSLinuxUMLCodingAgileHTTPJSON,0,0
126,Full Stack Developers - Java,Gurgaon,American Express Company,Not disclosed,2,"Responsibilities: Drive user story analysis and elaboration, design and develop softwar...",JMSProduct engineeringSupply chain managementorchestrationAnalyticalAgileData structurestest driven development,0,0
127,Java Full stack Developer,Gurgaon,Spectrum Talent Management,Not disclosed,6,Roles and Responsibility : Job Description: Full Stack Developer belongs to Self-Organi...,AutomationProduction supportJBossCodingMySQLAgilePLSQLScrum,0,0
128,Software Engineer - Full Stack Developer,Bengaluru,Hitachi Consulting Software Services India Limited,Not disclosed,0,"We are seeking a Full Stack Developer to join a fast-paced, highly collaborative engine...",Software testingPrototypeTechnical designDeploymentApplication softwareSoftware solutionsTesting,0,0
129,Full Stack Engineers - Python,Chennai,TVS NEXT,Not disclosed,9,"Job Description Why join TVS Next We help our clients reimagine, design and develop sof...",LinuxBusiness AnalystProduction planningJavascriptHTMLApacheContinuous improvementSQL,0,0
130,Full Stack Engineers - Python,Bengaluru,TVS NEXT,Not disclosed,9,"Job Description Why join TVS Next We help our clients reimagine, design and develop sof...",LinuxBusiness AnalystProduction planningJavascriptHTMLApacheContinuous improvementSQL,0,0
131,Senior Full Stack Engineer,Indore,IT company,"12,00,000 - 15,00,000 PA.",3,"Strong programming skills in Javascript is a must, with experience working with MongoDB...",Communication SkillsOpen SourceUnit TestingWeb TechnologiesGraph DatabasesMongoDBReact.JsAWS,1,0
132,Hiring For Full Stack Developer - Newt Global - Chennai,Chennai,Newt Global India Private Limited,"4,00,000 - 9,00,000 PA.",4,Greetings From Newt Global !! Looking For Full Stack Developer - Chennai Location Venue...,front endAngularjscssjunitjspfull stack software programmerfull stack developerhibernate,0,0
133,Zippr is Hiring_mean full Stack Developer,Hyderabad,Zippr,Not disclosed,3,Create applications on both the server-side and on the web interface for maximum impact...,Angularjsnode.jsexpress jsMean Stackmean stack codingfull stack developermongodbMean Stack Developer,1,0
134,Full Stack Developer - C2H,Hyderabad,RESPONSE INFORMATICS LIMITED,Not disclosed,5,"5+ years of experience as Full stack developerReact JS, Experience in Agile Software De...",Software Development MethodologiesHtml5XMLWeb TechnologiesJavascriptAgileJSONSOAP,1,0
135,Full Stack Developer,Mohali,Steg Infotech Private Limited,Not disclosed,1,Immediate or maximum 15 days notice periodHands on experience in Core JAVA and Node JSE...,cssJavascripthtmlNode.JsbootstrapBackbone.Jsjquerycore java,1,0
136,Senior J2EE Full Stack Developers,Hyderabad,Prokarma Softech Pvt. Ltd.,Not disclosed,4,"Very good analytical, problem solving ability, verbal and written communication skillsM...",java / j2ee programmerspring bootjmsactivemqJavaJava J2Ee Developerj2eejava / j2ee program,0,0
137,EY Hiring For Java Full Stack Developer with Mongodb,Bengaluru,Ernst and Young Services Pvt. Ltd,"6,00,000 - 10,00,000 PA.",3,"Full stack MongoDB, ELK, noSQL, CICD is a must",Program ManagementMongoDBElastic Search,0,0
138,Full Stack Web Developer - March24,Pune,Iristechsys Software Services LLP,"3,00,000 - 4,25,000 PA.",2,"Because we are stable, we promise minimum 6 months job security in writingThe job descr...",AngularjsjQuerySpring BootReact.JsjavascriptAngular,1,0
139,Full Stack Developer,Bengaluru,Superior Group,Not disclosed,3,"Key Capabilities 1. Highly experienced in backend programming languages like Java, PHP,...",BackendProduct engineeringGITMVC frameworkMySQLProgrammingPHPOracle,0,0
140,Full Stack Technology Lead,Kochi,Experion Technologies,Not disclosed,7,"Ability to identify and split the tasks required for a User Story implementation, think...",Entity Framework Core.Net CoreCSSLINQDOMHTMLJSONAngular,1,0
141,Senior Java Full Stack Developer,Hyderabad,Allegis Services India Pvt. Ltd.,Not disclosed,7,ROLE The principal task will be to collaboratively deliver innovative solutions in the ...,JenkinsJavaMavenNoSQLDockerJUnitGCPXML,0,0
142,Java Full Stack Developer,Gurgaon,The Office Pass,Not disclosed,1,You will be contributing to our growth through Designing and Implementing new features ...,MavenCore JavajQueryGITSOADatabase designMySQLData structures,0,0
143,Java Full Stack Developer,Noida,The Office Pass,Not disclosed,1,You will be contributing to our growth through Designing and Implementing new features ...,MavenCore JavajQueryGITSOADatabase designMySQLData structures,0,0
144,Full Stack Developer,Bengaluru,Delict Technology Services,Not disclosed,8,"Mandatory Skills- 1) Vue.js, Vue CLI, Vuex, Vue Router, and Nuxt.js. 2) javascript, css...",BackendAutomation testingSAPPDFWeb technologieshtml5JavascriptHTML,0,0
145,Sr. Full Stack Mobile Developer - Cloud Platform,Pune,Johnson Controls,Not disclosed,2,What you will do The candidate will be developing and improving the mobile applications...,NUnitLinuxShell scriptingAgileWindowsVisual StudioJIRAAndroid,0,0
146,SSE- Full Stack Java,Chandigarh,MAVEN WAVE PARTNERS (INDIA)PVT. LTD.,Not disclosed,1,Your Expertise: - Strong understanding of Java 8 or higher with overall 1-3 years of ex...,IT servicesMavenHibernatePostgresqlMySQLConsultingJavascriptOracle,0,0
147,SSE- Full Stack Java,Gurgaon,MAVEN WAVE PARTNERS (INDIA)PVT. LTD.,Not disclosed,1,Your Expertise: - Strong understanding of Java 8 or higher with overall 1-3 years of ex...,IT servicesMavenHibernatePostgresqlMySQLConsultingJavascriptOracle,0,0
148,Full Stack Engineer,Hyderabad,Dremio,Not disclosed,3,About the Role Dremio s user experience is one of its key differentiators and makes all...,Computer sciencegithubFront endWeb technologiesData structuresHTMLmicrosoftAnalytics,0,0
149,Full Stack Developer,Gurgaon,Oodles Technologies Pvt Ltd,Not disclosed,0,Good Knowledge in web application development using Python and Django / FlaskWriting go...,algorithmsreact.jscsspythondjangojsonhtmlflask,1,0
150,Full Stack Developer / Senior Software Developer,Ahmedabad,LeewayHertz Technologies Private Limited,Not disclosed,5,Above 5 years of experience in back-end and front-end development. Practical demonstrat...,front endfront end developercsshtml5jspandroidbootstrapjavascript,1,0
151,Full Stack Technology Lead,Kochi,Experion Technologies (I) Pvt. Ltd.,Not disclosed,7,"Ability to identify and split the tasks required for a User Story implementation, think...",cssdomNode.Jsbootstrapajaxreactjsjavascriptangular,0,0
152,.NET Full Stack Technology Lead,Kochi,Experion Technologies,Not disclosed,7,"Ability to identify and split the tasks required for a User Story implementation, think...",Cloud ExposureAWS / Azure / Google CloudWeb APIBlazorEntity FrameworkJavascript TechnologiesAsp.NET Core MVCReact JSAngular,1,0
153,Principal/ Senior Full Stack Java Engineer,Bengaluru,Luxoft India LLP,Not disclosed,3,"The candidate will be required to work closely with the Development Manager, Project Ma...",CSSHtml5MySQLJavascriptRxjsBootstrapRedisMongoDB,0,0
154,Full Stack Web Developer,Gandhinagar,IT-Innovator Web Apps Services,Not disclosed,2,The candidates should be comfortable working with a small team. The candidate must have...,GraphicsFront endPDFWeb technologiesMySQLPHPHTMLObject oriented programming,0,0
155,Full stack Java,Hyderabad,Arminus Software Pvt. Ltd,Not disclosed,8,REQUIRED EXPERIENCE AND ABILITIES 1.8-15 years of experience 2.Hands on technical exper...,UI developmentAnalytical skillsJSP servletsspring bootHibernateCore JavaScalabilityEnterprise applications,0,0
156,Full Stack Java Developer/Lead/Architect,Bengaluru,Diverse Lynx India Pvt. Ltd,Not disclosed,4,"With around 4 to 12 years of experience in Java, Angular 2 or above and? Spring Boot? R...",spring bootSpring mvcspring securityLead ArchitectTDDBankingAgileDevelopment Lead,0,0
157,Full Stack Developer,Chennai,VMware India,Not disclosed,7,"Job Description About You You love to learn and to dig into new technologies, and can p...",HibernateERPAutomationSOAMySQLJavascriptStrutsHTML,0,0
158,Full Stack Developer,Bengaluru,VMware India,Not disclosed,7,"Job Description About You You love to learn and to dig into new technologies, and can p...",HibernateERPAutomationSOAMySQLJavascriptStrutsHTML,0,0
159,MERN Stack / Full Stack Developer,Ahmedabad,Intuz,Not disclosed,1,"Job Description Smart, enthusiastic, innovative thinker having minimum 3+ years of Java...",Web developmentJavascriptDatabaseManager TechnologyMongoDB,0,0
160,Java Full Stack Developer,Bengaluru,Diverse Lynx India Pvt. Ltd,Not disclosed,3,"Responsibilities In this role, one shall be responsible for designing and developing ap...",JMSPerformance tuningMavenCore JavajQueryJavascriptAgileScrum,0,0
161,Java Full stack Developer,Gurgaon,Diverse Lynx India Pvt. Ltd,Not disclosed,3,"Job Description Spring Boot, Spring Data, Spring Batch, Hibernate, Rest WebServices, No...",Mavenspring bootHibernateWeb servicesspring batchApachecloud foundry,0,0
162,Senior Software Engineer ? Full Stack Web Development,Bengaluru,Siemens Limited,Not disclosed,8,Job Description Responsible for the design of module(s) which are part of a system Deve...,MS SQLNetworkingWeb developmentJavascriptAgileData structuresHTMLApplication development,0,0
163,Full Stack Developer,Pune,Citicorp Services India Pvt Ltd,Not disclosed,4,The Applications Development Intermediate Programmer Analyst is an intermediate level p...,Programmer AnalystComplianceDebuggingConsultingProgrammingManager TechnologySubject Matter ExpertManagement,0,0
164,Full Stack SSE For .Net - CES LTD -cmmi Level 3,Chennai,CES Ltd.,Not disclosed,4,Responsibilities may include: Job Description: 4+ years of software design and developm...,c#front endapplication softwarecoreasp.net mvcdot net developer.net core.net,1,0
165,Full Stack Developer,Gurgaon,Oodles Technologies Pvt Ltd,Not disclosed,0,Should have worked with cross-cultural teams across multiple locationsAn in-depth under...,spring bootcssjavaspring dataj2eehtmlhibernateangularjs,1,0
166,Full Stack Developer - Java / Angular,Noida,Ciena India Private Ltd.,Not disclosed,4,Experience,Web servicesNetworkingLDAPTalent acquisitionEthernetTelecom OSSEDIOracle,0,0
167,Full Stack Developer,Noida,Ciena India Private Ltd.,Not disclosed,8,has good technical communication skills to collaborate in a teamExperience,MavenNetworkingLDAPCodingJavascriptData structuresWorkflowHTML,0,0
168,Immediate Opening For full Stack Developer_reactjs Experience,Bengaluru,IBM India Pvt. Limited,Not disclosed,3,Minimum 3 years professional / industrial experience in software developmentExperience in,DojoXSLJavaSenchaJSPXMLJavascriptHTML,0,0
169,Hiring Full Stack Developer || Angular 6 & Angular 7 || IT Company,Gurgaon,ACAP Solution India Pvt. Ltd..,Not disclosed,3,"ACS is a young, dynamic and fast moving business and technical management consultancy t...",angular 4mangodbangular developerangular7angularangular6databasenode.js,1,0
170,Full Stack Developer,Bengaluru,Accenture Solutions Pvt Ltd,Not disclosed,2,"Research, assess and adopt new technologies as required Ability and passion to quickly ...",JavaSoftware DevelopmentSoftware ServicesSoftware EngineeringWeb TechnologiesEffort EstimationNode.JsTest Driven Development,0,0
171,Full Stack Developer,Bengaluru,Accenture Solutions Pvt Ltd,Not disclosed,3,DESCRIPTION As a Software Engineer you will have strong programming background and expe...,JavaSoftware DevelopmentSoftware EngineeringWeb TechnologiesNode.JsTest Driven DevelopmentAPI / database developmentJava stack,0,0
172,Full Stack Web Developer,Indore,SR Expert Services,Not disclosed,2,Urgent Hiring for Full Stack Web Developer Profile - Full Stack Web Developer Salary - ...,BackendFront endHR ExecutiveProject managementInfrastructureProgrammingJavascriptComputer application,0,0
173,Full Stack Developer,Chandigarh,IDS Infotech Ltd.,Not disclosed,4,Good problem solving skillsGood Communication skills are mustHaving good knowledge of c...,JavaCSSHtml5full stack software programmerWeb DesigningFull Stack DeveloperFront EndMySQL,0,0
174,Java Full Stack Development,Pune,Accenture Solutions Pvt Ltd,Not disclosed,3,Must Have Skills : Java Full Stack Development Additional Information : A: Must to have...,Business processProduct qualitySoftware designEnterprise integrationSystem integrationScrumOutsourcingOperations,0,0
175,Full Stack Dot Net Developer,Hyderabad,S&P Global,"7,00,000 - 14,00,000 PA.",3,The Role : Application Developer- Full Stack Dot Net Developer The Location : Hyderabad...,NUnitCSSLINQWindows ServicesADO.NetJavascriptEntity FrameworkMVC,1,0
176,Full Stack Developer,Delhi,1 Touch Development Private Limited,Not disclosed,2,Any candidate with a graduate degree having a minimum experience of 2 years can applyRe...,JavaCSSRestMySQLJavascriptPHPHTMLNode.Js,1,0
177,Full Stack Developer,Mumbai,1 Touch Development Private Limited,Not disclosed,2,Any candidate with a graduate degree having a minimum experience of 2 years can applyRe...,JavaCSSRestMySQLJavascriptPHPHTMLNode.Js,1,0
178,Full Stack Developer,Chandigarh,1 Touch Development Private Limited,Not disclosed,2,Any candidate with a graduate degree having a minimum experience of 2 years can applyRe...,JavaCSSRestMySQLJavascriptPHPHTMLNode.Js,1,0
179,Java Full Stack Developer _CGI,Bengaluru,CGI Information Systems and Management Consultants Private Limited,Not disclosed,4,Experience: 4-8 years,Angularjsjavajava eecore java developercore java / j2ee developerspringbootjava developer,1,0
180,Full Stack Developer,Mumbai,Packt Publishing Limited,Not disclosed,3,We are looking to fill a Full Stack software developer role to work on a fast paced del...,CSSMINPostgresqlJavascriptNode JSProgrammingHTMLSoftware,0,0
181,Full Stack Developer,Trivandrum,EYGBS (INDIA) LLP,"3,00,000 - 8,00,000 PA.",2,Job Summary: This person would have significant experience in the Full stack technologi...,CSSRestSoftware DevelopmentGITHtml5MySQLJavascriptHTML,1,0
182,Full Stack Developer,Kochi,EYGBS (INDIA) LLP,"3,00,000 - 8,00,000 PA.",2,Job Summary: This person would have significant experience in the Full stack technologi...,CSSRestSoftware DevelopmentGITHtml5MySQLJavascriptHTML,1,0
183,"Full Stack Developer , South Delhi",Delhi,GTROPY SYSTEMS PRIVATE LIMITED,"3,00,000 - 8,00,000 PA.",3,B Tech in Computer Sciences from a reputed college9 years of experience is required in ...,asp.net ajaxc++web servicesfull stack developerdatabase administrationjavascriptiotnosql,1,0
184,Full Stack Developer,Bengaluru,"Liventus, Inc.","9,00,000 - 19,00,000 PA.",7,"We are looking for experienced, Full Stack Developers who can take the lead on executin...",C#Stored ProceduresHtml5Web TechnologiesJavascriptWeb ApplicationCMS.Net,0,0
185,Dot Net Full Stack Developer,Pune,Innominds Software Pvt Ltd,Not disclosed,5,.NET Full Stack Developer 4 - 8 Years Experience Hyderabad & Pune Location B.E/ B.Tech/...,codesoftwareOOADEntity frameworkjQueryWeb servicesapplicationUML,0,0
186,Dot Net Full Stack Developer,Hyderabad,Innominds Software Pvt Ltd,Not disclosed,5,.NET Full Stack Developer 4 - 8 Years Experience Hyderabad & Pune Location B.E/ B.Tech/...,codesoftwareOOADEntity frameworkjQueryWeb servicesapplicationUML,0,0
187,UI Developer and Full Stack Developer,Bengaluru,Teamware Solutions,Not disclosed,4,"21 March 2019 UI Developer and Full Stack Developer (4 Roles) Bengaluru, Karnataka, Ind...",PDFApplication programmingOOPS,0,0
188,Senior .Net Full Stack Developers,Bengaluru,Prokarma Softech Pvt. Ltd.,Not disclosed,4,Should have comprehensive experience in developing applications using design principles...,c#react jsdotnet+react j scriptdotnet programmerbackend developerdotnet+react java scriptdotnet software engineerangular,0,0
189,Dot Net Full Stack Developer Jobs Big,Bengaluru,Inspiration Manpower Consultancy Pvt. Ltd.,Not disclosed,2,"Unit Test Framework, Unity framework, MVP Pattern, SMTP client, Good exposure to UI tec...",SMTPjQueryCodingADO.NetHTMLWCFMVCsoftware quality,0,0
190,Full Stack Developer - PHP,Pune,PS International Infoservices Pvt Ltd,Not disclosed,2,"&Job Description&Job Tittle::Full Stack Developer-PHP &Location::Kharadi, Pune &Experie...",Computer scienceDrupalVersion controlCodingJavascriptPHPHTMLOpen source,0,0
191,Full Stack Developer - Full Cycle Web Application Development,Mumbai,FresherMart,Not disclosed,2,Duties and Responsibility : You will work with our internal team and customer contact t...,CI / CDRESTful APICloud ServicesJWTFull StackJSONVue.jsPMP,1,0
192,Full Stack Developer,Delhi,Adriyana Solutions Pvt. Ltd.,Not disclosed,3,Full Stack Developer Permanent 03 - 06 Year Job Description: ? Proven experience as a F...,jQueryFront endXMLAnalyticalMySQLHTMLMongoDBMobile applications,0,0
193,Java Full stack developer,Bengaluru,Diverse Lynx India Pvt. Ltd,Not disclosed,3,Responsible for providing Development services in a Java environment during regular Ind...,BackendInterpersonal skillsArchitectureIntegration testingAgileHTMLCustomer serviceUnit testing,0,0
194,Full Stack .NET Developer,Pune,Diverse Lynx India Pvt. Ltd,Not disclosed,3,Job Title: Full Stack .NET Developer Reporting Structure: The developer will report to ...,BackendGITTechnical leadershipAgileDatabaseEntity frameworkHTMLScrum,0,0
195,Full Stack Web Developer,Chennai,Diverse Lynx India Pvt. Ltd,Not disclosed,2,Share profiles for full stack web developer. Experience in Angularjs and ReactJS will b...,Web technologiesangularjs,0,0
196,Full Stack Developer,Noida,Codefire Technologies Private Limited,"2,50,000 - 5,00,000 PA.",2,"Hi, Noida based company CodeFire Technologies Pvt. Ltd.( Company works in React.Js, Ang...",AngularjsCSSFront EndPHPHTMLNode.JsMongoDBReact.Js,1,0
197,Full Stack Developer by Career Drivers Private Limited,Hyderabad,Career Drivers India Pvt. Ltd,Not disclosed,5,Skills Advanced Javascript Requirements This is a requirement for a full stack develope...,CodingSharingJavascriptMongoDbangularjsMapOpen,0,0
198,CLOUD COMPUTING - Assistant Professor,Delhi,Northern India Engineering College,Not disclosed,2,Job Description: Qualification: A PhD Degree with first class or equivalent grade at th...,CounselorMentorTrainerAdvisorEducatorTeaching,0,0
199,CLOUD COMPUTING - Associate Professor,Delhi,Northern India Engineering College,Not disclosed,3,Job Description: Qualification: A PhD Degree with first class or equivalent grade at th...,CounselorMentorTrainerAdvisorEducatorTeaching,0,0
200,CLOUD COMPUTING - Professor,Delhi,Northern India Engineering College,Not disclosed,6,Job Description: Qualification: A PhD Degree with first class or equivalent grade at th...,CounselorMentorTrainerAdvisorEducatorTeaching,0,0
201,Cloud Computing & Virtualization- Assistant Professor,GreaterNoida,Galgotias University,Not disclosed,4,Post Graduate in relevant discipline with NET and/or Ph.D as per U.G.C Norms,CounselorMentorTrainerAdvisorEducatorTeaching,0,0
202,Cloud Computing & Virtualization- Associate Professor,GreaterNoida,Galgotias University,Not disclosed,8,Ph.D with 8 years experience in the relevant field,CounselorMentorTrainerAdvisorEducatorTeaching,0,0
203,Cloud Computing & Virtualization- Professor,GreaterNoida,Galgotias University,Not disclosed,1,Ph.D with 10 years experience in the relevant discipline or equivalent industry experience,CounselorMentorTrainerAdvisorEducatorTeaching,0,0
204,Hiring For Active Directory/ Exchange Server/ Cloud Computing,Delhi,JOBS EXPERT PRIVATE LIMITED,"3,00,000 - 6,00,000 PA.",1,*NEED IMMEDIATE JOINERS***** .CALL LIPIKA .9999333648 .lipika.jobexpert@gmail.com Skype...,Windows ServerTroubleshootingActive DirectoryDHCPFSMOMicrosoft o365DNS ServerCloud Computing,0,0
205,Hiring For Active Directory/ Exchange Server/ Cloud Computing,Bengaluru,JOBS EXPERT PRIVATE LIMITED,"3,00,000 - 6,00,000 PA.",1,*NEED IMMEDIATE JOINERS***** .CALL LIPIKA .9999333648 .lipika.jobexpert@gmail.com Skype...,Windows ServerTroubleshootingActive DirectoryDHCPFSMOMicrosoft o365DNS ServerCloud Computing,0,0
206,Hiring For Active Directory/ Exchange Server/ Cloud Computing,Gurgaon,JOBS EXPERT PRIVATE LIMITED,"3,00,000 - 6,00,000 PA.",1,*NEED IMMEDIATE JOINERS***** .CALL LIPIKA .9999333648 .lipika.jobexpert@gmail.com Skype...,Windows ServerTroubleshootingActive DirectoryDHCPFSMOMicrosoft o365DNS ServerCloud Computing,0,0
207,Database Architect - Azure Cloud Computing,Hyderabad,EHNOTE SOFTLABS PVT LTD,Not disclosed,7,Experienced in working on Database Administration Activity and Architecture (SQL Server...,Oracle Apps DbaMicrosoft AzureDB Architectdatabase architectSQL Azuresql server,0,0
208,Microsoft Dynamics Trainer - Office 365/cloud Computing,Bengaluru,CrossTab IT Consulting,Not disclosed,3,Skill set : - 5+ years of experience in taking technical training on Microsoft Office s...,C#AzureCloud ComputingMS DynamicsC# programmingTechnical TrainingOffice 365MS Dynamics 365,1,0
209,Principal Architect - Aem/cloud Computing,Bengaluru,DataGroup Geospatial Technologies Pvt. Ltd.,Not disclosed,1,Job Nature : Full Time Should have experience with high volume of data processing with ...,Technical ArchitectJVMAngularJSJavaDesign PatternsAEMJ2EEAlgorithm,1,1
210,Data Engineer - Cloud Computing/etl,Pune,Staffio HR,Not disclosed,2,"Must Haves : Unix, Python, Java, data modelling, data structures, ETL, algorithms, Clou...",IT SkillsJavaPythonCloudDevOpsBig DataAWSAzure,1,1
211,Cloud Computing Consultant - HN Web Marketing Pvt Ltd,Pune,HN Web Marketing Pvt Ltd,Not disclosed,2,Cloud consultants combine investigative and analytical skills in their work. They use c...,formulation development skillsweb technologiescloud computinganalytical skills,0,0
212,Visiting Faculty Position - Cloud Computing,Bhubaneswar,Indian Institute of Technology Bhubaneswar,Not disclosed,0,"positions, selected candidates will be offered consolidated monthly remuneration and ot...",None,0,0
213,Assistant Professor Grade-II - Cloud Computing,Bhubaneswar,Indian Institute of Technology Bhubaneswar,Not disclosed,0,Advertisment Nos : Advertisement No. Rectt/01/ 2019 Pay Scale : Pay Level 11 (in case o...,None,0,0
214,Assistant Professor Grade-I - Cloud Computing,Bhubaneswar,Indian Institute of Technology Bhubaneswar,Not disclosed,0,"Once selected in this position, the candidate will be evaluated for the post of Assista...",None,0,0
215,Associate Professor - Cloud Computing,Bhubaneswar,Indian Institute of Technology Bhubaneswar,Not disclosed,0,The candidate should have demonstrated capability and adequate experience of independen...,None,0,0
216,Professor - Cloud Computing,Bhubaneswar,Indian Institute of Technology Bhubaneswar,Not disclosed,0,Experience: A minimum of 10 years teaching / research/industrial / professional experie...,None,0,0
217,Associate Professor - Operating Systems and Cloud Computing,Delhi,Indian Institute of Technology Delhi,Not disclosed,0,The website also contains useful information on various aspects of working and living a...,None,0,0
218,Assistant Professor Grade - II - Cloud Computing,Pune,Indian Institute of Information Technology Pune,Not disclosed,0,The eligible and interested candidates are required to submit the hardcopy of completel...,None,0,0
219,Professor - Operating Systems and Cloud Computing,Delhi,Indian Institute of Technology Delhi,Not disclosed,0,The website also contains useful information on various aspects of working and living a...,None,0,0
220,Assistant Professor Grade - I - Cloud Computing,Pune,Indian Institute of Information Technology Pune,Not disclosed,0,The eligible and interested candidates are required to submit the hardcopy of completel...,None,0,0
221,Associate Professor - Cloud Computing,Pune,Indian Institute of Information Technology Pune,Not disclosed,0,The eligible and interested candidates are required to submit the hardcopy of completel...,None,0,0
222,Professor - Cloud Computing,Pune,Indian Institute of Information Technology Pune,Not disclosed,0,The eligible and interested candidates are required to submit the hardcopy of completel...,None,0,0
223,Assistant Professor - Cloud Computing,Kolkata,Indian Institute of Management Calcutta,Not disclosed,0,"For a permanent position, the work experience requirement is as follows: Minimum 3 year...",None,0,0
224,Associate Professor - Cloud Computing,Kolkata,Indian Institute of Management Calcutta,Not disclosed,0,A faculty member is required to teach core and elective courses in various programs (at...,None,0,0
225,Professor - Cloud Computing,Kolkata,Indian Institute of Management Calcutta,Not disclosed,0,A faculty member is required to teach core and elective courses in various programs (at...,None,0,0
226,Assistant Professor -Operating Systems And Cloud Computing,Delhi,Indian Institute of Technology Delhi,Not disclosed,0,Rolling Advertisement for The Post of Assistant Professor And Equivalent Faculty Positi...,None,0,0
227,Cloud Computing Azure Jobs In Gurgaon || CTC@ 7.2L,Delhi,JOBS EXPERT PRIVATE LIMITED,"4,25,000 - 7,50,000 PA.",1,"Required 1+ years of experience in ""Azure"" Must have good knowledge of DNS , DHCP , Act...",Technical ConsultantTechnical RepresentativeFTPMicrosoft CertifiedPAASdnsmicrosoft azureRedis,0,0
228,Cloud Computing Azure Jobs In Gurgaon || CTC@ 7.2L,Gurgaon,JOBS EXPERT PRIVATE LIMITED,"4,25,000 - 7,50,000 PA.",1,"Required 1+ years of experience in ""Azure"" Must have good knowledge of DNS , DHCP , Act...",Technical ConsultantTechnical RepresentativeFTPMicrosoft CertifiedPAASdnsmicrosoft azureRedis,0,0
229,Senior Software Engg - Systems,Bengaluru,Mphasis Limited,Not disclosed,4,Who are we looking for? Full stack developer having strong hands-on experience in devel...,Cloud computingspring bootUsageTDDAgile developmentScrumMongoDBtest driven development,0,0
230,Software Engineer -systems,Bengaluru,Mphasis Limited,Not disclosed,2,Able to work in Scrum model at offshoreable to work directly with customer stakeholders...,BPOCloud computingTDDWeb developmentScrumtest driven developmentTest casesJIRA,0,0
231,Backend Developer - Server Side Programming - Php/node.js,Mumbai,Viaan Industries Ltd,Not disclosed,1,Optimization of the application for maximum speed and scalability Proficient understand...,Cloud ComputingProduct DesignIT Product ArchitectureMicroservices ArchitectureApache ServerJavascriptPHPNode.js,1,0
232,Mgr - IT Qual Assur,Hyderabad,Verizon Data Services India Pvt.Ltd,Not disclosed,2,What you ll be doing : Leading and motivating a team to execute priorities and provide ...,Cloud computingGITTesting toolsBillingAgileApplication developmentSeleniumJIRA,0,0
233,Master Trainer,Allahabad,Talent Zone Consultant,Not disclosed,3,Deliver complete end to end skill development program starting from basics of networkin...,UnixCloud computingLinuxNetworkingMySQLWeb developmentJavascriptPHP,0,0
234,Lead Software Developer,Pune,EMERSON INNOVATION CENTER - PUNE,Not disclosed,4,* Responsibilities: Develop and Test software applications Prepare software design and ...,Cloud computingSoftware designPHPWorkflowWCFMVCStored proceduresApplication software,0,0
235,Business Analyst,Mohali,GM WARE,Not disclosed,1,Strong experience with SCRUM and other agile project management methodsExp: 1-3year - E...,Product StrategyImplementationBusiness AnalysisAgile Project ManagementCloud ComputingBrdSRSFSD,1,0
236,Business Analyst,Punjab,GM WARE,Not disclosed,1,Strong experience with SCRUM and other agile project management methodsExp: 1-3year - E...,Product StrategyImplementationBusiness AnalysisAgile Project ManagementCloud ComputingBrdSRSFSD,1,0
237,Java Technical Lead,Bengaluru,Mphasis Limited,Not disclosed,7,We are looking to hire spirited and talented individuals. 7 to 12 years IT experienced ...,spring bootangularjavapivotalagile developmentcloud computingawsazure,0,0
238,Vice President Software Services,Bengaluru,STRAND LIFE SCIENCES PRIVATE LIMITED,"50,00,000 - 60,00,000 PA.",1,"10-15 years of experience in software development and managementlicenses, certification...",c#JavaPostgresqlc #Node.JsApache Tomcatmobile application developmentWPF,1,0
